date,open,ceilingPrice,floorPrice,close
2013-01-07,6.275,6.65,5.85,6.4
2013-01-14,6.659999999999999,7.040000000000001,6.24,6.659999999999999
2013-01-21,6.859999999999999,7.5,6.220000000000001,6.88
2013-01-28,6.640000000000001,7.2,6.0,6.659999999999999
2013-02-04,7.18,7.88,6.4799999999999995,7.24
2013-02-11,7.4,8.2,6.75,7.625
2013-02-18,8.2,8.9,7.3,8.0
2013-02-25,7.88,8.6,7.12,7.8
2013-03-04,7.340000000000001,8.1,6.7,7.24
2013-03-11,6.8,7.42,6.18,6.9
2013-03-18,7.040000000000001,7.68,6.36,6.959999999999999
2013-03-25,6.82,7.4,6.2,6.840000000000001
2013-04-01,6.659999999999999,7.279999999999999,6.08,6.74
2013-04-08,6.859999999999999,7.42,6.220000000000001,6.92
2013-04-15,7.08,7.720000000000001,6.4,6.92
2013-04-22,6.574999999999999,7.175,5.975,6.525
2013-04-29,6.475,7.05,5.85,6.55
2013-05-06,6.533333333333334,7.2,6.0,6.766666666666667
2013-05-13,6.840000000000001,7.540000000000001,6.3,6.859999999999999
2013-05-20,6.840000000000001,7.44,6.24,6.840000000000001
2013-05-27,7.08,7.74,6.38,7.18
2013-06-03,7.540000000000001,8.22,6.82,7.540000000000001
2013-06-10,7.3,8.0,6.6,7.3
2013-06-17,7.24,7.92,6.5200000000000005,7.2
2013-06-24,7.0,7.62,6.3,6.959999999999999
2013-07-01,6.82,7.44,6.24,6.779999999999999
2013-07-08,6.74,7.340000000000001,6.14,6.720000000000001
2013-07-15,6.62,7.340000000000001,6.14,6.82
2013-07-22,6.82,7.42,6.220000000000001,6.8
2013-07-29,6.62,7.220000000000001,6.0200000000000005,6.5200000000000005
2013-08-05,6.380000000000001,6.9799999999999995,5.779999999999999,6.36
2013-08-12,6.4,6.9799999999999995,5.779999999999999,6.4
2013-08-19,6.32,6.92,5.720000000000001,6.38
2013-08-26,6.5,7.12,5.92,6.5
2013-09-02,6.4,7.05,5.85,6.4
2013-09-09,6.4,7.0200000000000005,5.82,6.42
2013-09-16,6.32,7.0200000000000005,5.82,6.5200000000000005
2013-09-23,6.74,7.359999999999999,6.16,6.720000000000001
2013-09-30,6.68,7.3,6.1,6.720000000000001
2013-10-07,6.8,7.38,6.18,6.8
2013-10-14,6.8,7.4,6.2,6.76
2013-10-21,6.8,7.4,6.2,6.859999999999999
2013-10-28,7.0200000000000005,7.640000000000001,6.32,6.959999999999999
2013-11-04,6.92,7.5,6.3,6.92
2013-11-11,7.0,7.720000000000001,6.36,7.06
2013-11-18,7.1,7.779999999999999,6.380000000000001,7.1
2013-11-25,7.12,7.82,6.42,7.1
2013-12-02,7.0200000000000005,7.720000000000001,6.32,7.0
2013-12-09,6.9799999999999995,7.68,6.32,7.0
2013-12-16,6.94,7.58,6.3,6.9
2013-12-23,6.9,7.4799999999999995,6.24,6.9
2013-12-30,6.9,7.5200000000000005,6.279999999999999,6.859999999999999
2014-01-06,6.825,7.425000000000001,6.225,6.825
2014-01-13,6.779999999999999,7.5200000000000005,6.279999999999999,6.94
2014-01-20,6.9799999999999995,7.640000000000001,6.32,7.0200000000000005
2014-01-27,7.24,7.9,6.5,7.2
2014-02-03,7.24,7.9,6.5,7.2
2014-02-10,7.333333333333333,8.033333333333333,6.633333333333333,7.5
2014-02-17,7.720000000000001,8.4,7.0,7.76
2014-02-24,8.559999999999999,9.34,7.7,8.66
2014-03-03,8.940000000000001,9.74,8.059999999999999,8.959999999999999
2014-03-10,9.1,9.98,8.22,9.16
2014-03-17,9.48,10.36,8.559999999999999,9.620000000000001
2014-03-24,11.04,11.959999999999999,9.84,11.3
